"Source:","/home/taba1uga/Github/rgb_led_demo/kicad/rgb_led_demo.kicad_sch"
"Date:","Tue 17 Sep 2024 07:27:22 AM UTC"
"Tool:","Eeschema 6.0.11+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","11"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT1, ","1","4.5V","Battery_Cell","Battery:BatteryHolder_Keystone_2479_3xAAA","Single-cell battery",""
"D1, ","1","LED_RGBK","LED_RGBK","LED_THT:LED_D5.0mm-4_RGB","RGB LED, red/green/blue/cathode",""
"RB1, ","1","68 Ohm","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"RG1, ","1","100 Ohm","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"RR1, ","1","120 Ohm","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"RVB1, ","1","10k Ohm","R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal","Trim-potentiometer",""
"RVG1, ","1","10k Ohm","R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal","Trim-potentiometer",""
"RVR1, ","1","10k Ohm","R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal","Trim-potentiometer",""
"SWB1, ","1","SW_SPST","SW_SPST","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","Single Pole Single Throw (SPST) switch",""
"SWG1, ","1","SW_SPST","SW_SPST","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","Single Pole Single Throw (SPST) switch",""
"SWR1, ","1","SW_SPST","SW_SPST","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","Single Pole Single Throw (SPST) switch",""
